name,address,distance_km,severity
North Huron Community Food Share,"405 Josephine St Unit D Wingham Ontario N0G 2W0",111,22
Walkerton & District Food Bank,"6 May St
Walkerton Ontario N0G 2V0",140,87
Salvation Army - Hanover,"711 10th Ave 
Hanover Ontario N4N 2P7",151,38
Orangeville Food Bank,"614 Barnes Ave 
Port Elgin Ontario N0H 2C0",182,85
Saugeen Shores Community Food Bank,"515 Goderich St
Port Elgin ON N0H 2C0",183,37
Salvation Army - Port Elgin,"55 Healey Road
Bolton Ontario L7E 5A2",197,37
Caledon Community Services,"52 Wellington Street West
Alliston Ontario L9R 1T9",207,47
Good Shepherd Food Bank,"365 14th Street West
Owen Sound Ontario N4K 5P7",209,78
Salvation Army - Owen Sound,"576 Edward Street
Box 1286
Wiarton ON N0H2T0",216,76
Bruce Peninsula Community Food Bank,"6 May St
Walkerton Ontairo N0G 2V0",140,74
The Salvation Army - Wiarton,"581 12th Street
Hanover Ontario N4N 1W5
",150,23
Aurora Food Pantry,"3 Commerce Road
Orangeville Ontario
L9W3X5
",167,18
Meaford Food Bank and Outreach,"614 Barnes Ave
Port Elgin Ontario N0H 2C0
1",182,59
Helping Hand Food Bank - Bradford,"515 Goderich St
Port Elgin ON N0H 2C0
",183,62
Salvation Army - Collingwood,"55 Healey Road
Bolton Ontario L7E 5A2
",197,68
Newmarket Food Pantry,"52 Wellington Street West
Alliston Ontario L9R 1T9
",207,66
Wasaga Beach Ministerial Food Bank,"365 14th Street West
Owen Sound Ontario N4K 5P7
",209,86
Feed the Need in Durham,"576 Edward Street
Wiarton Ontario N0H 2T0
",216,84
Barrie Food Bank,"576 Edward Street
Box 1286
Wiarton ON N0H2T0
",216,47
Georgina Community Food Pantry,"350 Industrial Parkway South
Aurora Ontario L4G 3V7
",218,98
Clarington East Food Bank,"34 Trowbridge St W
Meaford Ontario N4L 1A5
",221,30
Brock Community Food Bank,"123 Moore Street
Bradford Ontario L3Z 2B6",228,77
The Sharing Place,"162 Ste. Marie St.
Collingwood Ontario L9Y 3K2",228,78
Northumberland Food For All,"1251 Gorham St
Unit 7-8-9
Newmarket Ontario L3Y 8Y6",231,52
Northumberland Fare Share,"818 Mosley Street
Unit  2
Wasaga Beach Ontario L0M 1S0",237,22
Salvation Army - Midland,"371 Marwood Dr.
Oshawa Ontario L1H 7P8",246,68
Kawartha Lakes Food Source,"42 Anne St South
Barrie ON L4M 2C9",258,85
Kawartha Food Share,"20849 Dalton Rd
Sutton Ontario L0E 1R0",264,7
Bobcaygeon Food Bank,"279 King Ave E.
Newcastle Ontario L1B 1H4",267,98
Seven Hills Community Pantry,"523 Simcoe Street
Beaverton Ontario L0K 1A0",290,69
Hastings & Roseneath Ministerial Food Bank,"95 Dufferin St
Orillia Ontario L3V 5S9",293,30
Salvation Army - Bracebridge,"600 William Street
Cobourg Ontario K9A 3A5",299,47
Trenton Care & Share Food Bank,"700 D'arcy Street
Building #19
Cobourg Ontario K9A 5T3",302,23
Campbellford Fare Share Food Bank,"555 Dominion Avenue
Midland Ontario L4R 4K8",310,55
Quinte Region Food Sharing Shelter,"164 Needham Street
Lindsay Ontario K9V 5R7",314,31
Gleaners Food Bank,"665 Neal Drive
Peterborough Ontario K9J 6X7",314,45
Minden Food Bank,"55 Main St
Bobcaygeon Ontario K0M 1A0",343,68
Salvation Army - Huntsville,"60 Main St
Warkworth Ontario K0K 3K0

",346,39
Harvest Share Community Food Program,"3 Albert St. W.
Hastings Ontario K0L 1Y0",347,8
Salvation Army - Napanee,"456 Manitoba Street
Bracebridge Ontario P1L 1W1",350,91
Central Food Network  (Cardiff),"30 Pelham Street
Suite 2
Trenton Ontario K8V 5A7",353,56
Burk's Falls & District Food Bank,"68 Doxsee Ave Rear
Campbellford Ontario K0L 1L0",363,67
North Hastings Community Cupboard,"25 Wallbridge Cres.
Belleville Ontario K8P 1Z3

",370,82
Central Food Network,"25 Wallbridge Cres
Belleville Ontario K8P 1Z3",370,76
Southern Frontenac Community Services,"24 Newcastle Street
Minden Ontario K0M 2K0",381,3
Partners in Mission Food Bank,"4 Mary Street East
Huntsville Ontario P1H 1W4",382,87
Good Happenings Food Bank,"93 James Street
Parry Sound Ontario P2A 1T7",390,59
North Frontenac Food Bank,"82 Richard St.
Napanee Ontario K7R 2T2",406,70
Gananoque Food Bank,"2778 Monck Rd
Cardiff ON K0L 1M0",410,83
ROLL Aid Centre,"150 Huston Street
Burk's Falls, Ontario P0A 1C0",419,54
Madawaska Valley Food Bank,"2 Madawaska Street
Bancroft Ontario K0L 1C0",424,94
Table Community Food Centre,"2249 Loop Road
Wilberforce Ontario K0L 3C0",425,67
Lanark Highlands Food Pantry,"4295 Stagecoach Road
Sydenham Ontario K0H 2T0
",443,98
North Bay Food Bank,"140, Hickson Ave
Kingston Ontario K7K 2N6
",444,32
Operation Harvest Sharing,"Hunter Street
South River Ontario P0A 1X0
",450,18
Brockville & Area Food Bank,"14153 Hwy 38
Sharbot Lake Ontario K0H 2P0
",465,96
Lanark County Food Bank,"497 King St E
Gananoque Ontario K7G 1G9
",473,95
Eganville and District  Community  Food Bank,"116 Bay St
Seeleys Bay Ontario K0H 2N0
",474,64
Smiths Falls Community Food Bank,"8 Martin Street
Barry's Bay Ontario K0J 1B0
",496,69
Food for All Food Bank,"190 Gore St. E
Perth Ontario K7H 1K3
",500,12
Sudbury Food Bank,"115 Clarence Street
Lanark Ontario K0G 1K0
",504,30
Mattawa & Area Food Bank,"1016 Fisher Street
North Bay Ontario P1B 2G4
",506,24
Renfrew Food Bank,"P.O. Box 522
Brockville ON K6V 5V7

",522,13
Kanata Food Cupboard,"58 Buell St
Brockville Ontario K6V 4Y2
",522,86
St. Joseph's Food Bank (ON),"84 Mill St
Carleton Place Ontario K7C 1T5

",530,72
House of Lazarus.,"165 John St
Eganville Ontario K0J 1T0

",531,26
Ottawa Food Bank,"93 Russell Street East
Smiths Falls Ontario K7A 1G8

",534,11
Community Food Share (Dundas County FB),"136 Henry Street West
Prescott Ontario K0E 1T0

",542,83
Moisson Outaouais,"1105 Webbwood Dr
Greater Sudbury Ontario P3C 3B6

",549,46
Cobalt Coleman & Latchford & Area Food Bk,"420 Hurdman St
Mattawa Ontario P0H 1V0

",550,90
Salvation Army - Sault Ste. Marie,"8 Argyle St
Renfrew Ontario K7V 1T3

",551,79
The Salvation Army,"340 Legget Drive
Door #46
Kanata Ontario K2K 1Y6
",565,73
Elliot Lake Food Bank,"295 First Ave
Pembroke Ontario K8A 5A8
",565,6
Manitoulin Family Resources,"10619 Main St
South Mountain Ontario K0E 1W0
",579,0
Blind River Emergency Food Bank,"1317 Michael Street
Gloucester Ontario K1B 3M9


",585,60
The Salvation Army Kirkland Lake Foodbank,"497 May Street
Winchester Ontario K0C 2K0
",597,75
Ressourcerie Bernard-Hamel,"37 Rue Bombardier
Gatineau Quebec J8R 0G4

",603,37
Cochrane Food Bank (ON),"22 Earl Street
Cobalt Ontario P0J 1C0


",651,44
Centre De Benevolat De La Vallee De L'Or,"78 Elgin St
Sault Ste. Marie ON P6A 2Y5
",660,23
Regional Food Distribution Association,"29 Columbia Walk
Elliot Lake Ontario P5A 1Y6
",702,63
Salvation Army - Fort Frances,"27 Forest Street
Mindemoya Ontario P0P 1S0
",704,86
The Salvation Army Family Services,"65 Youngfox Road
Blind River Ontario P0R 1B0
",707,46
Salvation Army - Kenora,"6 Sylvanite Ave
Kirkland Lake Ontario P2N 3M4
",749,90